Land_town,Heating_Degree_day,Altitude,Latitude,Longitude,Average_High_Temperature_in_Jan_2016,Average_Temperature_in_Jan_2016,Days_with_precipitation_Jan_2016,Residents_per_dwelling_ratio,Independent_Heat_System_Share_of_Dwellings,Independent_Hot_Water_System_Share_of_Dwellings,Share_of_buildings_built_before_1960,Share_of_buildings_built_after_1990,Average_building_age,Share_of_non-occupied_buildings,Rate_of_urban_population,Population_density_per__Sq_km,Share_of_houses_owned,Share_of_houses_rented,Average_habitable_area_per_resident_sqm,Average_size_of_dwellings_sqm,Average_family_size,Employees_population_ratio,Per_capita_income_€,Share_of_employees_in_the_industrial_sector,Tourist_accommodations_per_capita,Share_of_recycled_waste,Per_capita_recycled_waste_production_kg,Per_capita_urban_waste_production_kg,Per_capita_electr_energy_cons_in_the_domes_sector_kWh,Province
Terni,1650,130,42.58055449,12.66152462,11.4516129,7.774193548,15,2.360264107,0.823987129,0.782174918,0.511126993,0.122208326,66.23097691,0.205814573,0.875170735,107.2878019,0.732544426,0.160156841,43.21,101.3138594,2.19,0.244028648,19711.86467,0.368895985,0.061515744,0.5751,281.01,488.63,1010.437389,Terni
Pesaro,2083,11,43.88743531,12.86449269,10.38709677,7.629032258,13,2.491037752,0.85343125,0.903792291,0.424106458,0.129659457,59.95336708,0.215243991,0.886191575,140.4769362,0.754420538,0.146205635,41.6,103.098437,2.35,0.307353075,19728.92213,0.460638365,0.13038693,0.5681,343.82,605.21,1007.454721,Pesaro
Ancona,1688,16,43.57365077,13.49280617,10.38709677,7.629032258,13,2.455526249,0.88960334,0.922371166,0.457813831,0.123216493,62.36064944,0.193864344,0.901596446,241.5039617,0.759910656,0.151109963,41.02,99.95640976,2.31,0.305221951,20995.92063,0.456580057,0.10651222,0.5957,304.73,511.52,972.1085623,Ancona
Macerata,2005,315,43.30451887,13.45278126,10.67741936,7.177419355,12,2.570903416,0.896312746,0.912604033,0.454482759,0.12822069,65.31076552,0.239614918,0.835992328,114.7470098,0.763346759,0.142357512,41.35,105.5520645,2.43,0.298663671,18973.78602,0.483505317,0.105631175,0.7137,345.78,484.46,988.0189765,Macerata
Ascoli_Piceno,1698,154,42.85225278,13.56964367,11.25806452,7.112903226,11,2.566345884,0.87659008,0.901914023,0.466067737,0.11696996,62.52728363,0.253372877,0.884566578,170.5309317,0.773184893,0.120488418,41.29,105.4060888,2.4,0.251412738,18366.34459,0.363163765,0.13995703,0.5003,270.98,541.58,969.2050609,Ascoli_Piceno
Fermo,1955,319,43.16171083,13.71781944,10.67741936,7.177419355,12,2.594163551,0.891236672,0.907429307,0.390026575,0.132510031,57.36418113,0.248109162,0.84756115,202.6606858,0.755945623,0.122289174,41.61,107.5659308,2.45,0.322572159,18216.50074,0.576838522,0.232452001,0.5788,271.58,469.19,976.8428759,Fermo
Aquila,2514,714,42.39433974,13.4258013,6.838709677,3.661290323,15,2.495445611,0.819797367,0.82206113,0.553929046,0.117019474,69.88634357,0.440237679,0.969317195,59.81471971,0.722595552,0.121886135,40.43,99.41165991,2.3,0.194323312,18444.26485,0.341043553,0.074439402,0.4662,207.6,445.35,996.3234076,Aquila
Teramo,1834,265,42.65923244,13.71157178,11.58064516,7.983870968,12,2.577697188,0.869718972,0.901570048,0.354221941,0.138260686,53.47696357,0.331600247,0.884964534,158.5467857,0.761094461,0.112335802,40.92,105.1204332,2.42,0.253573539,16796.11457,0.485054453,0.166311129,0.6287,306.71,487.81,967.5368474,Teramo
Pescara,1718,4,42.45697116,14.20422183,11.90322581,8.35483871,12,2.554501985,0.851669174,0.878076328,0.387456847,0.158375801,53.6146145,0.201674213,0.877684238,261.1574076,0.744113168,0.146467103,40.75,103.5314867,2.37,0.24569934,18702.79412,0.290304222,0.036192575,0.4068,191.64,471.13,972.8952504,Pescara
Chieti,1556,330,42.35960568,14.16350851,11.67741936,8.35483871,14,2.549289666,0.840402923,0.858913244,0.436780507,0.108351625,56.96742933,0.300262332,0.870799781,149.7059571,0.769095437,0.120377737,41.95,106.3235337,2.39,0.2501727,17326.45884,0.473953182,0.064218887,0.6326,268.21,423.99,959.7372864,Chieti
